dataset,feature_dim,n_samples,mc_iterations,Train Accuracy for Depth 0,Test Accuracy for Depth 0,Train Accuracy for Depth 1,Test Accuracy for Depth 1,Train Accuracy for Depth 2,Test Accuracy for Depth 2,Train Accuracy for Depth 3,Test Accuracy for Depth 3,Train Accuracy for Depth 4,Test Accuracy for Depth 4,Train Accuracy for Depth 5,Test Accuracy for Depth 5,Train Accuracy for Depth 6,Test Accuracy for Depth 6,Train Accuracy for Depth 7,Test Accuracy for Depth 7,Train Accuracy for Depth 8,Test Accuracy for Depth 8,Train Accuracy for Depth 9,Test Accuracy for Depth 9,Train Accuracy for Depth 10,Test Accuracy for Depth 10,Train Accuracy for Depth 11,Test Accuracy for Depth 11,Train Accuracy for Depth 12,Test Accuracy for Depth 12,Train Accuracy for Depth 13,Test Accuracy for Depth 13,Train Accuracy for Depth 14,Test Accuracy for Depth 14,Train Accuracy for Depth 15,Test Accuracy for Depth 15,Train Accuracy for Depth 16,Test Accuracy for Depth 16,Train Accuracy for Depth 17,Test Accuracy for Depth 17,Train Accuracy for Depth 18,Test Accuracy for Depth 18,Train Accuracy for Depth 19,Test Accuracy for Depth 19,Train Accuracy for Depth 20,Test Accuracy for Depth 20,Train Accuracy for Depth 21,Test Accuracy for Depth 21,Train Accuracy for Depth 22,Test Accuracy for Depth 22,Train Accuracy for Depth 23,Test Accuracy for Depth 23,Train Accuracy for Depth 24,Test Accuracy for Depth 24,Train Accuracy for Depth 25,Test Accuracy for Depth 25,Train Accuracy for Depth 26,Test Accuracy for Depth 26,Train Accuracy for Depth 27,Test Accuracy for Depth 27,Train Accuracy for Depth 28,Test Accuracy for Depth 28,Train Accuracy for Depth 29,Test Accuracy for Depth 29,Train Accuracy for Depth 30,Test Accuracy for Depth 30
Circular Smooth,5,2000,300,0.701,0.698,0.701,0.698,0.702,0.696,0.733,0.706,0.805,0.773,0.819,0.770,0.837,0.759,0.862,0.747,0.887,0.739,0.913,0.729,0.937,0.722,0.958,0.715,0.974,0.712,0.986,0.707,0.992,0.705,0.996,0.705,0.999,0.704,1.000,0.704,,,,,,,,,,,,,,,,,,,,,,,,,,
Add. Het.,30,2000,300,0.513,0.504,0.757,0.750,0.810,0.798,0.823,0.798,0.862,0.805,0.896,0.805,0.927,0.797,0.953,0.791,0.972,0.786,0.984,0.783,0.992,0.780,0.996,0.778,0.999,0.777,1.000,0.777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add. Jump,30,2000,300,0.591,0.592,0.878,0.875,0.891,0.883,0.907,0.883,0.920,0.880,0.936,0.876,0.951,0.873,0.966,0.869,0.978,0.865,0.987,0.864,0.994,0.862,0.997,0.861,0.999,0.860,1.000,0.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Circular,5,2000,300,0.681,0.682,0.681,0.682,0.683,0.678,0.730,0.700,0.797,0.760,0.810,0.750,0.829,0.740,0.852,0.728,0.877,0.718,0.901,0.706,0.924,0.694,0.945,0.685,0.962,0.677,0.975,0.671,0.984,0.665,0.991,0.666,0.995,0.661,0.998,0.660,0.999,0.660,1.000,0.659,,,,,,,,,,,,,,,,,,,,,,
Add. H.I. Jump,30,2000,300,0.528,0.527,0.706,0.696,0.730,0.711,0.834,0.804,0.853,0.799,0.881,0.790,0.908,0.780,0.933,0.772,0.952,0.765,0.967,0.760,0.978,0.755,0.987,0.752,0.992,0.751,0.996,0.749,0.998,0.747,1.000,0.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sine Cosine,2,2000,300,0.511,0.501,0.526,0.500,0.542,0.511,0.568,0.528,0.611,0.558,0.661,0.587,0.694,0.592,0.719,0.592,0.749,0.590,0.778,0.585,0.812,0.583,0.843,0.579,0.871,0.576,0.898,0.573,0.922,0.569,0.939,0.567,0.956,0.561,0.969,0.562,0.978,0.561,0.985,0.561,0.990,0.559,0.994,0.557,0.997,0.557,0.998,0.557,0.999,0.556,1.000,0.557,,,,,,,,,,
Rectangular,2,2000,300,0.733,0.732,0.733,0.732,0.733,0.732,0.747,0.726,0.805,0.782,0.816,0.778,0.829,0.770,0.845,0.759,0.862,0.750,0.879,0.739,0.898,0.728,0.917,0.720,0.933,0.712,0.947,0.704,0.959,0.697,0.970,0.691,0.978,0.688,0.985,0.685,0.989,0.683,0.993,0.681,0.996,0.680,0.998,0.678,0.999,0.678,1.000,0.677,,,,,,,,,,,,,,
Add. Smooth,30,2000,300,0.510,0.500,0.685,0.667,0.705,0.687,0.743,0.699,0.774,0.698,0.809,0.692,0.846,0.688,0.883,0.681,0.915,0.675,0.944,0.672,0.964,0.670,0.981,0.667,0.992,0.665,0.996,0.665,0.998,0.664,1.000,0.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sine Cosine,5,2000,300,0.511,0.501,0.532,0.499,0.546,0.501,0.565,0.505,0.590,0.508,0.616,0.516,0.652,0.522,0.692,0.531,0.730,0.538,0.768,0.542,0.806,0.539,0.841,0.540,0.873,0.541,0.901,0.539,0.928,0.539,0.948,0.539,0.964,0.537,0.976,0.537,0.985,0.536,0.992,0.537,0.996,0.535,0.998,0.537,1.000,0.536,,,,,,,,,,,,,,,,
Rectangular,5,2000,300,0.733,0.732,0.733,0.732,0.733,0.732,0.749,0.724,0.808,0.777,0.822,0.771,0.840,0.758,0.860,0.743,0.882,0.734,0.904,0.721,0.925,0.710,0.943,0.697,0.959,0.688,0.971,0.682,0.981,0.679,0.987,0.674,0.993,0.672,0.996,0.671,0.998,0.669,1.000,0.668,,,,,,,,,,,,,,,,,,,,,,
