dataset,n_samples,n_features,class_1_fraction,algorithm,algorithm_name,kappa,max_features,estimate_noise_before_sampling,es_offset,n_estimators,n_iterations,train_acc (mean),train_acc (median),test_acc (mean),test_acc (median),mcc_test (mean),mcc_test (median),f1_test (mean),f1_test (median),log_loss_test (mean),log_loss_test (median),mean_depth (mean),mean_depth (median),median_depth (mean),median_depth (median),sd_depth (mean),sd_depth (median),mean_n_leaves (mean),mean_n_leaves (median),median_n_leaves (mean),median_n_leaves (median),sd_n_leaves (mean),sd_n_leaves (median),ensemble_fit_duration (mean),ensemble_fit_duration (median),mean_tree_fit_duration (mean),mean_tree_fit_duration (median),median_tree_fit_duration (mean),median_tree_fit_duration (median)
Banknote,1372,4,0.4446064139941691,FMSE,FMSE,,,,0.0,100,300,0.9946461372231227,0.993517017828201,0.9877536231884059,0.9927536231884058,0.9752588955477773,0.9846619892884978,0.986245471671568,0.9903623389861922,0.05851879354985753,0.059190348567150136,5.313266666666666,5.0,5.3133333333333335,5.0,0.0006633249580710799,0.0,18.115833333333335,16.87,18.09,17.0,3.221714499330295,3.0614619579141458,1.9591461380322774,1.8370081186294556,,,,
Banknote,1372,4,0.4446064139941691,UES,UES,1nn,sqrt,True,0.0,100,300,0.9999756888168557,1.0,0.9932608695652175,0.9927536231884058,0.9863770094419803,0.9855201672213512,0.9924077467388682,0.9921259842519685,0.028145887327261778,0.026358315301959763,7.811999999999999,7.93,7.873333333333333,8.0,0.7354707679291151,0.8122419785783033,25.791633333333333,25.905,25.565,26.0,4.9170450077139485,4.926859785596104,0.4252502838770548,0.42501986026763916,,,,
Banknote,1372,4,0.4446064139941691,IES,IGES,1nn,sqrt,True,0.0,100,300,0.9999972987574285,1.0,0.9908695652173912,0.9927536231884058,0.9815367542412904,0.9853634586500206,0.9896727860833721,0.9916660879227724,0.0444092946166117,0.027336185340218217,8.237066666666665,8.155000000000001,8.138333333333334,8.0,1.0481008585198912,1.0360260544227509,26.4577,26.605,26.27,26.0,3.8382639039643074,3.74344060149837,69.81873263756434,71.02833449840546,0.6968012533333333,0.7088825000000001,0.6901768133333334,0.704871
Banknote,1372,4,0.4446064139941691,IES,ILES,1nn,sqrt,True,0.0,100,300,0.9999972987574285,1.0,0.9908695652173912,0.9927536231884058,0.9815367542412904,0.9853634586500206,0.9896727860833721,0.9916660879227724,0.0444092946166117,0.027336185340218217,8.237066666666665,8.155000000000001,8.138333333333334,8.0,1.0481008585198912,1.0360260544227509,26.4577,26.605,26.27,26.0,3.8382639039643074,3.74344060149837,64.95303819656372,66.70626282691956,0.6481784666666666,0.665677,0.6483506566666666,0.667908
Banknote,1372,4,0.4446064139941691,MD_scikit,MD_scikit,,sqrt,,,100,300,1.0,1.0,0.9934541062801934,0.9927536231884058,0.9867727921521066,0.9855353293641964,0.9926257931135687,0.9922480620155039,0.026650392891180683,0.025237829214107964,8.2401,8.24,8.01,8.0,1.1858779958736578,1.1930632105484507,26.46886666666667,26.44,26.216666666666665,26.0,5.2382090641785055,5.220780487651378,0.3947565793991089,0.4151890277862549,,,,
Banknote,1372,4,0.4446064139941691,MD_custom,MD_custom,no_es,sqrt,True,0.0,100,300,0.9999972987574285,1.0,0.9917391304347827,0.9927536231884058,0.9833304896130681,0.9854621673734969,0.9907191144868246,0.9919349593495934,0.03156718596795891,0.026864546365094954,8.246633333333333,8.12,8.158333333333333,8.0,0.9976348963029162,0.9883306021723437,26.6797,26.88,26.48,27.0,4.023937472810416,4.025210091039392,0.4312922954559326,0.4491615295410156,0.003541256666666667,0.00368,0.00353565,0.0036745
SA Heart,462,9,0.3463203463203463,FMSE,FMSE,,,,0.0,100,300,0.6779116465863454,0.6771084337349398,0.6587943262411348,0.6595744680851063,0.10437737993699102,0.0371253780723635,0.08421303617487491,0.08695652173913043,0.5913042760538265,0.5874252351607342,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.26615254561106366,0.26326262950897217,,,,
SA Heart,462,9,0.3463203463203463,UES,UES,1nn,sqrt,True,0.0,100,300,0.6779116465863454,0.6771084337349398,0.6587943262411348,0.6595744680851063,0.10437737993699102,0.0371253780723635,0.08421303617487491,0.08695652173913043,0.5913042760538265,0.5874252351607342,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.2587966426213582,0.2519826889038086,,,,
SA Heart,462,9,0.3463203463203463,IES,IGES,1nn,sqrt,True,0.0,100,300,0.655855421686747,0.653012048192771,0.6480851063829787,0.6595744680851063,0.003401730023408139,0.0,0.008043549509224566,0.0,0.6501056061879351,0.6414928244713685,0.047733333333333336,0.0,0.04,0.0,0.02528791672084781,0.0,1.0494333333333334,1.0,1.04,1.0,0.03140198381824474,0.0,0.3727225184440613,0.1515747308731079,0.0028924766666666665,0.000682,0.002575176666666667,0.000675
SA Heart,462,9,0.3463203463203463,IES,ILES,1nn,sqrt,True,0.0,100,300,0.6546746987951807,0.653012048192771,0.6478014184397163,0.6595744680851063,0.001170334786456106,0.0,0.001498917748917749,0.0,0.6445377349346638,0.6413615621881541,0.11739999999999999,0.05,0.041666666666666664,0.0,0.21425046862685662,0.21794494717703367,1.1178666666666668,1.05,1.0416666666666667,1.0,0.21562810018771392,0.21794494717703375,0.6311808999379476,0.2874336242675781,0.005496836666666667,0.002057,0.0017721000000000002,0.000118
